mysql> select ngram, count(*) as zliczenie from wystapienia.ngrams group by ngram order by zliczenie desc limit 400;
+---------------------------+-----------+
| ngram                     | zliczenie |
| wielu                     |      3654 |
| zmianie                   |      3634 |
| wiele                     |      3628 |
| głos z                    |      3622 |
| należy                    |      3614 |
| głos z sali               |      3611 |
| wszystkie                 |      3609 |
| tam                       |      3607 |
| że nie                    |      3601 |
| której                    |      3599 |
| myślę                     |      3594 |
| wobec                     |      3593 |
| kraju                     |      3590 |
| ponad                     |      3565 |
| celu                      |      3560 |
| zabierze                  |      3554 |
| się z                     |      3522 |
| przede                    |      3517 |
| pan minister              |      3516 |
| dotyczy                   |      3499 |
| i w                       |      3493 |
| polityki                  |      3488 |
| jej                       |      3483 |
| w zakresie                |      3467 |
| nie tylko                 |      3460 |
| ponieważ                  |      3455 |
| w przypadku               |      3453 |
| przede wszystkim          |      3441 |
| budżetu                   |      3438 |
| którym                    |      3437 |
| więcej                    |      3429 |
| mi                        |      3426 |
| komisja                   |      3419 |
| gdzie                     |      3419 |
| posłowi                   |      3406 |
| informacji                |      3402 |
| publicznych               |      3390 |
| temat                     |      3371 |
| sprawiedliwości           |      3361 |
| o zmianie                 |      3324 |
| proszę o                  |      3323 |
| dziękuję panie            |      3306 |
| zdrowia                   |      3306 |
| się na                    |      3301 |
| że to                     |      3300 |
| posłowie                  |      3292 |
| pani minister             |      3288 |
| głos zabierze             |      3281 |
| parlamentarnego           |      3278 |
| palikota                  |      3274 |
| panu posłowi              |      3269 |
| przecież                  |      3259 |
| bardzo panie              |      3256 |
| głos ma                   |      3250 |
| wniosek                   |      3242 |
| 4                         |      3232 |
| rady                      |      3230 |
| zostały                   |      3208 |
| proszę panie              |      3193 |
| dotyczące                 |      3193 |
| platforma                 |      3180 |
| dobrze                    |      3179 |
| taki                      |      3178 |
| takich                    |      3173 |
| o to                      |      3160 |
| ochrony                   |      3157 |
| klub                      |      3146 |
| stanowisko                |      3134 |
| chcę                      |      3129 |
| dziękuję panu             |      3101 |
| chwili                    |      3095 |
| 10                        |      3084 |
| tak jak                   |      3081 |
| rozwoju                   |      3077 |
| wtedy                     |      3060 |
| ramach                    |      3057 |
| albo                      |      3057 |
| iż                        |      3056 |
| nam                       |      3055 |
| one                       |      3051 |
| raz                       |      3042 |
| niestety                  |      3036 |
| sejmie                    |      3033 |
| czasie                    |      3030 |
| obywatelska               |      3029 |
| osoby                     |      3028 |
| środki                    |      3027 |
| rok                       |      3023 |
| został                    |      3016 |
| w ramach                  |      3013 |
| bardzo proszę panie       |      3006 |
| rzecz                     |      2998 |
| a nie                     |      2987 |
| temu                      |      2971 |
| dziękuję bardzo panie     |      2971 |
| platforma obywatelska     |      2970 |
| pierwsze                  |      2966 |
| myślę że                  |      2960 |
| dziękuję oklaski          |      2959 |
| zmianie ustawy            |      2957 |
| klubu parlamentarnego     |      2943 |
| zgodnie                   |      2941 |
| o zmianie ustawy          |      2936 |
| otóż                      |      2919 |
| przystępujemy             |      2917 |
| problem                   |      2909 |
| ust                       |      2903 |
| podatku                   |      2902 |
| porządku                  |      2895 |
| ma pan                    |      2886 |
| projekcie                 |      2881 |
| prostu                    |      2878 |
| po prostu                 |      2875 |
| przystępujemy do          |      2873 |
| dnia                      |      2859 |
| mogą                      |      2835 |
| zmian                     |      2832 |
| pana ministra             |      2831 |
| wicemarszałek             |      2820 |
| polskich                  |      2818 |
| między                    |      2795 |
| praw                      |      2794 |
